Neighborhood,Neighborhood Latitude,Neighborhood Longitude,Id,Venue,Venue Latitude,Venue Longitude,Venue Category
Greenwich Village,40.72693288536128,-73.99991402945902,5d697b319704a700087208cf,Copper Branch,40.729419,-74.00147,Vegetarian / Vegan Restaurant
Greenwich Village,40.72693288536128,-73.99991402945902,59b58d06ea1e44219b0c3a98,Playa Bowls NYU,40.729588445515695,-74.00082115008317,Juice Bar
Greenwich Village,40.72693288536128,-73.99991402945902,5138e26de4b0288547418d4d,Juice Press,40.725940606374444,-74.00118930654021,Juice Bar
Greenwich Village,40.72693288536128,-73.99991402945902,49fb5a63f964a520396e1fe3,Little Atlas,40.72864590951415,-73.99472251691711,Coffee Shop
Greenwich Village,40.72693288536128,-73.99991402945902,49f10c98f964a52083691fe3,N.Y. Dosas,40.73074269139539,-73.99899439849084,Food Truck
Greenwich Village,40.72693288536128,-73.99991402945902,436fea80f964a520f9291fe3,Sacred Chow,40.729781192264305,-73.99962751043515,Vegetarian / Vegan Restaurant
Greenwich Village,40.72693288536128,-73.99991402945902,4e1dc238fa7653a9b2e6063c,Urban Oasis Truck,40.724011053822565,-74.00053809384764,Vegetarian / Vegan Restaurant
Greenwich Village,40.72693288536128,-73.99991402945902,54259e43498e5a95dd79ec51,So-Home,40.724811797228895,-74.00161121302797,Vegetarian / Vegan Restaurant
Greenwich Village,40.72693288536128,-73.99991402945902,5c1026a6b9ac38002c29b96a,Thrills By CHLOE.,40.726624,-73.994351,Vegetarian / Vegan Restaurant
Greenwich Village,40.72693288536128,-73.99991402945902,506368efe4b0277106e8c3c4,Organic Microbiotic Restaurant,40.72701968434426,-74.00333852057331,Vegetarian / Vegan Restaurant
Greenwich Village,40.72693288536128,-73.99991402945902,4fdcb78ae4b05c4e3b1284bc,Miami's Original Vegan Food Truck,40.72261282467882,-74.0003142874853,Vegetarian / Vegan Restaurant
Greenwich Village,40.72693288536128,-73.99991402945902,4e45733052b1bac0d968afc0,Blossum Du Jour,40.72900862599097,-73.99619390824748,Vegetarian / Vegan Restaurant
Greenwich Village,40.72693288536128,-73.99991402945902,51ccae19498e7877d9f5c399,Dixie Milk HQ,40.72504538559748,-73.99687107972214,Vegetarian / Vegan Restaurant
Greenwich Village,40.72693288536128,-73.99991402945902,52f53959498e7552cdb895c3,Vitamin Chick,40.72524847838178,-74.00325755822662,Juice Bar
Greenwich Village,40.72693288536128,-73.99991402945902,4ed94c22775bcc53f934aaeb,Organic Foods,40.729793548583984,-73.9976806640625,Vegetarian / Vegan Restaurant
Greenwich Village,40.72693288536128,-73.99991402945902,59a07f053149b949aecb2715,The Impossible Burgerfest Pop-Up,40.72525,-73.99534,Vegetarian / Vegan Restaurant
